Title,Content
Recycling,"Health and environmental impact
Health impact
E-waste
According to the WHO (2023), ""Every year millions of electrical and electronic devices are discarded ... a threat to the environment and to human health if they are not treated, disposed of, and recycled appropriately. Common items ... include computers ... e-waste are recycled using environmentally unsound techniques and are likely stored in homes and warehouses, dumped, exported or recycled under inferior conditions. When e-waste is treated using inferior activities, it can release as many as 1000 different chemical substances ... including harmful neurotoxicants such as lead."" A paper in the journal Sustainable Materials & Technologies remarks upon the difficulty of managing e-waste, particularly from home automation products, which, due to their becoming obsolete at a high rate, are putting increasing strain on recycling systems, which have not adapted to meet the recycling needs posed by this type of product."
Recycling,"Slag recycling
Copper slag is obtained when copper and nickel ores are recovered from their source ores using a pyrometallurgical process, and these ores usually contain other elements which include iron, cobalt, silica, and alumina. An estimate of 2.2–3 tons of copper slag is generated per ton of copper produced, resulting in around 24.6 tons of slag per year, which is regarded as waste.
Environmental impact of slag include copper paralysis, which leads to death due to gastric hemorrhage, if ingested by humans. It may also cause acute dermatitis upon skin exposure. Toxicity may also be uptaken by crops through soil, consequently spreading animals and food sources and increasing the risk of cardiovascular diseases, cancer, cognitive impairment, chronic anemia, and damage to kidneys, bones, nervous system, brain and skin."
Recycling,"Substituting gravel and grit in quarries has been more cost-effective, due to having its sources with better proximity to consumer markets. Trading between countries and establishment of blast furnaces is helping increase slag utilization, hence reducing wastage and pollution."
Recycling,"Environmental impact
Economist Steven Landsburg, author of a paper entitled ""Why I Am Not an Environmentalist"", claimed that paper recycling actually reduces tree populations. He argues that because paper companies have incentives to replenish their forests, large demands for paper lead to large forests while reduced demand for paper leads to fewer ""farmed"" forests."
Recycling,"When foresting companies cut down trees, more are planted in their place; however, such farmed forests are inferior to natural forests in several ways. Farmed forests are not able to fix the soil as quickly as natural forests. This can cause widespread soil erosion and often requiring large amounts of fertilizer to maintain the soil, while containing little tree and wild-life biodiversity compared to virgin forests. Also, the new trees planted are not as big as the trees that were cut down, and the argument that there would be ""more trees"" is not compelling to forestry advocates when they are counting saplings.
In particular, wood from tropical rainforests is rarely harvested for paper because of their heterogeneity. According to the United Nations Framework Convention on Climate Change secretariat, the overwhelming direct cause of deforestation is subsistence farming (48% of deforestation) and commercial agriculture (32%), which is linked to food, not paper production."
Recycling,"Other non-conventional methods of material recycling, like Waste-to-Energy (WTE) systems, have garnered increased attention in the recent past due to the polarizing nature of their emissions. While viewed as a sustainable method of capturing energy from material waste feedstocks by many, others have cited numerous explanations for why the technology has not been scaled globally."
Recycling,"Legislation
Supply
For a recycling program to work, a large, stable supply of recyclable material is crucial. Three legislative options have been used to create such supplies: mandatory recycling collection, container deposit legislation, and refuse bans. Mandatory collection laws set recycling targets for cities, usually in the form that a certain percentage of a material must be diverted from the city's waste stream by a target date. The city is responsible for working to meet this target."
Recycling,"Container deposit legislation mandates refunds for the return of certain containers—typically glass, plastic and metal. When a product in such a container is purchased, a small surcharge is added that the consumer can reclaim when the container is returned to a collection point. These programs have succeeded in creating an average 80% recycling rate. Despite such good results, the shift in collection costs from local government to industry and consumers has created strong opposition in some areas—for example, where manufacturers bear the responsibility for recycling their products. In the European Union, the WEEE Directive requires producers of consumer electronics to reimburse the recyclers' costs."
Recycling,"An alternative way to increase the supply of recyclates is to ban the disposal of certain materials as waste, often including used oil, old batteries, tires, and garden waste. This can create a viable economy for the proper disposal of the products. Care must be taken that enough recycling services exist to meet the supply, or such bans can create increased illegal dumping."
Recycling,"Government-mandated demand
Four forms of legislation have also been used to increase and maintain the demand for recycled materials: minimum recycled content mandates, utilization rates, procurement policies, and recycled product labeling.
Both minimum recycled content mandates and utilization rates increase demand by forcing manufacturers to include recycling in their operations. Content mandates specify that a certain percentage of a new product must consist of recycled material. Utilization rates are a more flexible option: Industries can meet their recycling targets at any point of their operations, or even contract out recycling in exchange for tradable credits. Opponents to these methods cite their large increase in reporting requirements, and claim that they rob the industry of flexibility."
Recycling,"Governments have used their own purchasing power to increase recycling demand through ""procurement policies"". These policies are either ""set-asides"", which reserve a certain amount of spending for recycled products; or ""price preference"" programs that provide larger budgets when recycled items are purchased. Additional regulations can target specific cases: in the United States, for example, the Environmental Protection Agency mandates the purchase of oil, paper, tires and building insulation from recycled or re-refined sources whenever possible."
Recycling,"The final government regulation toward increased demand is recycled product labeling. When producers are required to label their packaging with the amount of recycled material it contains (including the packaging), consumers can make more educated choices. Consumers with sufficient buying power can choose more environmentally conscious options, prompting producers to increase the recycled material in their products and increase demand. Standardized recycling labeling can also have a positive effect on the supply of recyclates when it specifies how and where the product can be recycled."
Recycling,"Recyclates
""Recyclate"" is a raw material sent to and processed in a waste recycling plant or materials-recovery facility so it can be used in the production of new materials and products. For example, plastic bottles can be made into plastic pellets and synthetic fabrics."
Recycling,Quality of recyclate
Recycling,"The quality of recyclates is one of the principal challenges for the success of a long-term vision of a green economy and achieving zero waste. It generally refers to how much of it is composed of target material, versus non-target material and other non-recyclable material. Steel and other metals have intrinsically higher recyclate quality; it is estimated that two-thirds of all new steel comes from recycled steel. Only target material is likely to be recycled, so higher amounts of non-target and non-recyclable materials can reduce the quantity of recycled products. A high proportion of non-target and non-recyclable material can make it more difficult to achieve ""high-quality"" recycling; and if recyclate is of poor quality, it is more likely to end up being down-cycled or, in more extreme cases, sent to other recovery options or landfilled. For example, to facilitate the remanufacturing of clear glass products, there are tight restrictions for colored glass entering the re-melt"
Recycling,"of clear glass products, there are tight restrictions for colored glass entering the re-melt process. Another example is the downcycling of plastic, where products such as plastic food packaging are often downcycled into lower quality products,  and do not get recycled into the same plastic food packaging."
Recycling,"The quality of recyclate not only supports high-quality recycling, but it can also deliver significant environmental benefits by reducing, reusing, and keeping products out of landfills. High-quality recycling can support economic growth by maximizing the value of waste material. Higher income levels from the sale of quality recyclates can return value significant to local governments, households and businesses. Pursuing high-quality recycling can also promote consumer and business confidence in the waste and resource management sector, and may encourage investment in it."
Recycling,"There are many actions along the recycling supply chain, each of which can affect recyclate quality. Waste producers who place non-target and non-recyclable wastes in recycling collections can affect the quality of final recyclate streams, and require extra efforts to discard those materials at later stages in the recycling process. Different collection systems can induce different levels of contamination. When multiple materials are collected together, extra effort is required to sort them into separate streams and can significantly reduce the quality of the final products. Transportation and the compaction of materials can also make this more difficult. Despite improvements in technology and quality of recyclate, sorting facilities are still not 100% effective in separating materials. When materials are stored outside, where they can become wet, can also cause problems for re-processors. Further sorting steps may be required to satisfactorily reduce the amount of non-target and"
Recycling,Further sorting steps may be required to satisfactorily reduce the amount of non-target and non-recyclable material.
Recycling,"Recycling consumer waste
Collection
A number of systems have been implemented to collect recyclates from the general waste stream, occupying different places on the spectrum of trade-off between public convenience and government ease and expense. The three main categories of collection are drop-off centers, buy-back centers and curbside collection. About two-thirds of the cost of recycling is incurred in the collection phase."
Recycling,"Curbside collection
Curbside collection encompasses many subtly different systems, which differ mostly on where in the process the recyclates are sorted and cleaned. The main categories are mixed waste collection, commingled recyclables, and source separation. A waste collection vehicle generally picks up the waste.
In mixed waste collection, recyclates are collected mixed with the rest of the waste, and the desired materials are sorted out and cleaned at a central sorting facility. This results in a large amount of recyclable waste (especially paper) being too soiled to reprocess, but has advantages as well: The city need not pay for the separate collection of recyclates, no public education is needed, and any changes to the recyclability of certain materials are implemented where sorting occurs."
Recycling,"In a commingled or single-stream system, recyclables are mixed but kept separate from non-recyclable waste. This greatly reduces the need for post-collection cleaning, but requires public education on what materials are recyclable."
Recycling,"Source separation
Source separation is the other extreme, where each material is cleaned and sorted prior to collection. It requires the least post-collection sorting and produces the purest recyclates. However, it incurs additional operating costs for collecting each material, and requires extensive public education to avoid recyclate contamination. In Oregon, USA, Oregon DEQ surveyed multi-family property managers; about half of them reported problems, including contamination of recyclables due to trespassers such as transients gaining access to collection areas.
Source separation used to be the preferred method due to the high cost of sorting commingled (mixed waste) collection. However, advances in sorting technology have substantially lowered this overhead, and many areas that had developed source separation programs have switched to what is called co-mingled collection."
Recycling,"Buy-back centers
At buy-back centers, separated, cleaned recyclates are purchased, providing a clear incentive for use and creating a stable supply. The post-processed material can then be sold. If profitable, this conserves the emission of greenhouse gases; if unprofitable, it increases their emission. Buy-back centres generally need government subsidies to be viable. According to a 1993 report by the U.S. National Waste & Recycling Association, it costs an average $50 to process a ton of material that can be resold for $30.

Drop-off centers
Drop-off centers require the waste producer to carry recyclates to a central location—either an installed or mobile collection station or the reprocessing plant itself. They are the easiest type of collection to establish but suffer from low and unpredictable throughput."
Recycling,"Distributed recycling
For some waste materials such as plastic, recent technical devices called recyclebots enable a form of distributed recycling called DRAM (distributed recycling additive manufacturing). Preliminary life-cycle analysis (LCA) indicates that such distributed recycling of HDPE to make filament for 3D printers in rural regions consumes less energy than using virgin resin, or using conventional recycling processes with their associated transportation.
Another form of distributed recycling mixes waste plastic with sand to make bricks in Africa. Several studies have looked at the properties of recycled waste plastic and sand bricks. The composite pavers can be sold at 100% profit while employing workers at 1.5× the minimum wage in the West African region, where distributed recycling has the potential to produce 19 million pavement tiles from 28,000 tons of plastic water sachets annually in Ghana, Nigeria, and Liberia. This has also been done with COVID19 masks."
Recycling,"Sorting
Once commingled recyclates are collected and delivered to a materials recovery facility, the materials must be sorted. This is done in a series of stages, many of which involve automated processes, enabling a truckload of material to be fully sorted in less than an hour. Some plants can now sort materials automatically; this is known as single-stream recycling. Automatic sorting may be aided by robotics and machine learning. In plants, a variety of materials is sorted including paper, different types of plastics, glass, metals, food scraps, and most types of batteries. A 30% increase in recycling rates has been seen in areas with these plants. In the US, there are over 300 materials recovery facilities.
Initially, commingled recyclates are removed from the collection vehicle and placed on a conveyor belt spread out in a single layer. Large pieces of corrugated fiberboard and plastic bags are removed by hand at this stage, as they can cause later machinery to jam."
Recycling,"Next, automated machinery such as disk screens and air classifiers separate the recyclates by weight, splitting lighter paper and plastic from heavier glass and metal. Cardboard is removed from mixed paper, and the most common types of plastic—PET (#1) and HDPE (#2)—are collected, so these materials can be diverted into the proper collection channels. This is usually done by hand; but in some sorting centers, spectroscopic scanners are used to differentiate between types of paper and plastic based on their absorbed wavelengths. Plastics tend to be incompatible with each other due to differences in chemical composition; their polymer molecules repel each other, similar to oil and water."
Recycling,"Strong magnets are used to separate out ferrous metals such as iron, steel and tin cans. Non-ferrous metals are ejected by magnetic eddy currents: A rotating magnetic field induces an electric current around aluminum cans, creating an eddy current inside the cans that is repulsed by a large magnetic field, ejecting the cans from the stream."
Recycling,"Finally, glass is sorted according to its color: brown, amber, green, or clear. It may be sorted either by hand, or by a machine that uses colored filters to detect colors. Glass fragments smaller than 10 millimetres (0.39 in) cannot be sorted automatically, and are mixed together as ""glass fines"".
In 2003, San Francisco's Department of the Environment set a citywide goal of zero waste by 2020. San Francisco's refuse hauler, Recology, operates an effective recyclables sorting facility that has helped the city reach a record-breaking landfill diversion rate of 80% as of 2021. Other American cities, including Los Angeles, have achieved similar rates."
Recycling,"Recycling industrial waste
Although many government programs concentrate on recycling at home, 64% of waste in the United Kingdom is generated by industry. The focus of many recycling programs in industry is their cost-effectiveness. The ubiquitous nature of cardboard packaging makes cardboard a common waste product recycled by companies that deal heavily in packaged goods, such as retail stores, warehouses, and goods distributors. Other industries deal in niche and specialized products, depending on the waste materials they handle.
Glass, lumber, wood pulp and paper manufacturers all deal directly in commonly recycled materials; however, independent tire dealers may collect and recycle rubber tires for a profit.
The waste produced from burning coal in a Coal-fired power station is often called fuel ash or fly ash in the United States. It is a very useful material and used in concrete construction. It exhibits Pozzolanic activity."
Recycling,"Levels of metals recycling are generally low. In 2010, the International Resource Panel, hosted by the United Nations Environment Programme (UNEP), published reports on metal stocks and their recycling rates. It reported that the increase in the use of metals during the 20th and into the 21st century has led to a substantial shift in metal stocks from below-ground to use in above-ground applications within society. For example, in the US, in-use copper grew from 73 to 238 kg per capita between 1932–1999."
Recycling,"The report's authors observed that, as metals are inherently recyclable, metal stocks in society can serve as huge above-ground mines (the term ""urban mining"" has thus been coined). However, they found that the recycling rates of many metals are low. They warned that the recycling rates of some rare metals used in applications such as mobile phones, battery packs for hybrid cars and fuel cells, are so low that unless future end-of-life recycling rates are dramatically increased, these critical metals will become unavailable for use in modern technology."
Recycling,"The military recycles some metals. The U.S. Navy's Ship Disposal Program uses ship breaking to reclaim the steel of old vessels. Ships may also be sunk to create artificial reefs. Uranium is a dense metal that has qualities superior to lead and titanium for many military and industrial uses. Uranium left over from processing it into nuclear weapons and fuel for nuclear reactors is called depleted uranium, and is used by all branches of the U.S. military for the development of such things as armor-piercing shells and shielding.
The construction industry may recycle concrete and old road surface pavement, selling these materials for profit.
Some rapidly growing industries, particularly the renewable energy and solar photovoltaic technology industries, are proactively creating recycling policies even before their waste streams have considerable volume, anticipating future demand."
Recycling,"Recycling of plastics is more difficult, as most programs are not able to reach the necessary level of quality. Recycling of PVC often results in downcycling of the material, which means only products of lower quality standard can be made with the recycled material."
Recycling,"E-waste is a growing problem, accounting for 20–50 million metric tons of global waste per year according to the EPA. It is also the fastest growing waste stream in the EU. Many recyclers do not recycle e-waste responsibly. After the cargo barge Khian Sea dumped 14,000 metric tons of toxic ash in Haiti, the Basel Convention was formed to stem the flow of hazardous substances into poorer countries. They created the e-Stewards certification to ensure that recyclers are held to the highest standards for environmental responsibility and to help consumers identify responsible recyclers. It operates alongside other prominent legislation, such as the Waste Electrical and Electronic Equipment Directive of the EU and the United States National Computer Recycling Act, to prevent poisonous chemicals from entering waterways and the atmosphere."
Recycling,"In the recycling process, television sets, monitors, cell phones, and computers are typically tested for reuse and repaired. If broken, they may be disassembled for parts still having high value if labor is cheap enough. Other e-waste is shredded to pieces roughly 10 centimetres (3.9 in) in size and manually checked to separate toxic batteries and capacitors, which contain poisonous metals. The remaining pieces are further shredded to 10 millimetres (0.39 in) particles and passed under a magnet to remove ferrous metals. An eddy current ejects non-ferrous metals, which are sorted by density either by a centrifuge or vibrating plates. Precious metals can be dissolved in acid, sorted, and smelted into ingots. The remaining glass and plastic fractions are separated by density and sold to re-processors. Television sets and monitors must be manually disassembled to remove lead from CRTs and the mercury backlight from LCDs."
Recycling,"Vehicles, solar panels and wind turbines can also be recycled. They often contain rare-earth elements (REE) and/or other critical raw materials. For electric car production, large amounts of REE's are typically required.
Whereas many critical raw elements and REE's can be recovered, environmental engineer Phillipe Bihouix Archived 6 September 2021 at the Wayback Machine reports that recycling of indium, gallium, germanium, selenium, and tantalum is still very difficult and their recycling rates are very low."
Recycling,"Plastic recycling
Plastic recycling is the process of recovering scrap or waste plastic and reprocessing the material into useful products, sometimes completely different in form from their original state. For instance, this could mean melting down soft drink bottles and then casting them as plastic chairs and tables. For some types of plastic, the same piece of plastic can only be recycled about 2–3 times before its quality decreases to the point where it can no longer be used."
Recycling,"Physical recycling
Some plastics are remelted to form new plastic objects; for example, PET water bottles can be converted into polyester destined for clothing. A disadvantage of this type of recycling is that the molecular weight of the polymer can change further and the levels of unwanted substances in the plastic can increase with each remelt.
A commercial-built recycling facility was sent to the International Space Station in late 2019. The facility takes in plastic waste and unneeded plastic parts and physically converts them into spools of feedstock for the space station additive manufacturing facility used for in-space 3D printing."
Recycling,"Chemical recycling
For some polymers, it is possible to convert them back into monomers, for example, PET can be treated with an alcohol and a catalyst to form a dialkyl terephthalate. The terephthalate diester can be used with ethylene glycol to form a new polyester polymer, thus making it possible to use the pure polymer again. In 2019, Eastman Chemical Company announced initiatives of methanolysis and syngas designed to handle a greater variety of used material."
Recycling,"Waste plastic pyrolysis to fuel oil
Another process involves the conversion of assorted polymers into petroleum by a much less precise thermal depolymerization process. Such a process would be able to accept almost any polymer or mix of polymers, including thermoset materials such as vulcanized rubber tires and the biopolymers in feathers and other agricultural waste. Like natural petroleum, the chemicals produced can be used as fuels or as feedstock. A RESEM Technology plant of this type in Carthage, Missouri, US, uses turkey waste as input material. Gasification is a similar process but is not technically recycling since polymers are not likely to become the result.
Plastic Pyrolysis can convert petroleum based waste streams such as plastics into quality fuels, carbons. Given below is the list of suitable plastic raw materials for pyrolysis:

Mixed plastic (HDPE, LDPE, PE, PP, Nylon, Teflon, PS, ABS, FRP, PET etc.)
Mixed waste plastic from waste paper mill
Multi-layered plastic"
Recycling,"Recycling codes
In order to meet recyclers' needs while providing manufacturers a consistent, uniform system, a coding system was developed. The recycling code for plastics was introduced in 1988 by the plastics industry through the Society of the Plastics Industry. Because municipal recycling programs traditionally have targeted packaging—primarily bottles and containers—the resin coding system offered a means of identifying the resin content of bottles and containers commonly found in the residential waste stream."
Recycling,"In the United States, plastic products are printed with numbers 1–7 depending on the type of resin. Type 1 (polyethylene terephthalate) is commonly found in soft drink and water bottles. Type 2 (high-density polyethylene) is found in most hard plastics such as milk jugs, laundry detergent bottles, and some dishware. Type 3 (polyvinyl chloride) includes items such as shampoo bottles, shower curtains, hula hoops, credit cards, wire jacketing, medical equipment, siding, and piping. Type 4 (low-density polyethylene) is found in shopping bags, squeezable bottles, tote bags, clothing, furniture, and carpet. Type 5 is polypropylene and makes up syrup bottles, straws, Tupperware, and some automotive parts. Type 6 is polystyrene and makes up meat trays, egg cartons, clamshell containers, and compact disc cases. Type 7 includes all other plastics such as bulletproof materials, 3- and 5-gallon water bottles, cell phone and tablet frames, safety goggles and sunglasses. Having a recycling code or"
Recycling,"bottles, cell phone and tablet frames, safety goggles and sunglasses. Having a recycling code or the chasing arrows logo on a material is not an automatic indicator that a material is recyclable but rather an explanation of what the material is. Types 1 and 2 are the most commonly recycled."
Recycling,"Cost–benefit analysis
In addition to environmental impact, there is debate over whether recycling is economically efficient. According to a Natural Resources Defense Council study, waste collection and landfill disposal creates less than one job per 1,000 tons of waste material managed; in contrast, the collection, processing, and manufacturing of recycled materials creates 6–13 or more jobs per 1,000 tons.  According to the U.S. Recycling Economic Informational Study, there are over 50,000 recycling establishments that have created over a million jobs in the US. The National Waste & Recycling Association (NWRA) reported in May 2015 that recycling and waste made a $6.7 billion economic impact in Ohio, U.S., and employed 14,000 people. Economists would classify this extra labor used as a cost rather than a benefit since these workers could have been employed elsewhere; the cost effectiveness of creating these additional jobs remains unclear."
Recycling,"Sometimes cities have found recycling saves resources compared to other methods of disposal of waste. Two years after New York City declared that implementing recycling programs would be ""a drain on the city"", New York City leaders realized that an efficient recycling system could save the city over $20 million. Municipalities often see fiscal benefits from implementing recycling programs, largely due to the reduced landfill costs. A study conducted by the Technical University of Denmark according to the Economist found that in 83 percent of cases, recycling is the most efficient method to dispose of household waste. However, a 2004 assessment by the Danish Environmental Assessment Institute concluded that incineration was the most effective method for disposing of drink containers, even aluminium ones."
Recycling,"Fiscal efficiency is separate from economic efficiency. Economic analysis of recycling does not include what economists call externalities: unpriced costs and benefits that accrue to individuals outside of private transactions. Examples include less air pollution and greenhouse gases from incineration and less waste leaching from landfills.  Without mechanisms such as taxes or subsidies, businesses and consumers following their private benefit would ignore externalities despite the costs imposed on society. If landfills and incinerator pollution is inadequately regulated, these methods of waste disposal appear cheaper than they really are, because part of their cost is the pollution imposed on people nearby. Thus, advocates have pushed for legislation to increase demand for recycled materials.  The United States Environmental Protection Agency (EPA) has concluded in favor of recycling, saying that recycling efforts reduced the country's carbon emissions by a net 49 million metric"
Recycling,"saying that recycling efforts reduced the country's carbon emissions by a net 49 million metric tonnes in 2005. In the United Kingdom, the Waste and Resources Action Programme stated that Great Britain's recycling efforts reduce CO2 emissions by 10–15 million tonnes a year. The question for economic efficiency is whether this reduction is worth the extra cost of recycling and thus makes the artificial demand creates by legislation worthwhile."
Recycling,"Certain requirements must be met for recycling to be economically feasible and environmentally effective. These include an adequate source of recyclates, a system to extract those recyclates from the waste stream, a nearby factory capable of reprocessing the recyclates, and a potential demand for the recycled products. These last two requirements are often overlooked—without both an industrial market for production using the collected materials and a consumer market for the manufactured goods, recycling is incomplete and in fact only ""collection"".
Free-market economist Julian Simon remarked ""There are three ways society can organize waste disposal: (a) commanding, (b) guiding by tax and subsidy, and (c) leaving it to the individual and the market"". These principles appear to divide economic thinkers today."
Recycling,"Frank Ackerman favours a high level of government intervention to provide recycling services. He believes that recycling's benefit cannot be effectively quantified by traditional laissez-faire economics. Allen Hershkowitz supports intervention, saying that it is a public service equal to education and policing. He argues that manufacturers should shoulder more of the burden of waste disposal.
Paul Calcott and Margaret Walls advocate the second option. A deposit refund scheme and a small refuse charge would encourage recycling but not at the expense of illegal dumping. Thomas C. Kinnaman concludes that a landfill tax would force consumers, companies and councils to recycle more."
Recycling,"Most free-market thinkers detest subsidy and intervention, arguing that they waste resources. The general argument is that if cities charge the full cost of garbage collection, private companies can profitably recycle any materials for which the benefit of recycling exceeds the cost (e.g. aluminum) and do not recycle other materials for which the benefit is less than the cost (e.g. glass). Cities, on the other hand, often recycle even when they  not only do not receive enough for the paper or plastic to pay for its collection, but must actually pay private recycling companies to take it off of their hands.   Terry Anderson and Donald Leal think that all recycling programmes should be privately operated, and therefore would only operate if the money saved by recycling exceeds its costs. Daniel K. Benjamin argues that it wastes people's resources and lowers the wealth of a population. He notes that recycling can cost a city more than twice as much as landfills, that in the United States"
Recycling,"that recycling can cost a city more than twice as much as landfills, that in the United States landfills are so heavily regulated that their pollution effects are negligible, and that the recycling process also generates pollution and uses energy, which may or may not be less than from virgin production."
Recycling,"Trade in recyclates
Certain countries trade in unprocessed recyclates. Some have complained that the ultimate fate of recyclates sold to another country is unknown and they may end up in landfills instead of being reprocessed. According to one report, in America, 50–80 percent of computers destined for recycling are actually not recycled. There are reports of illegal-waste imports to China being dismantled and recycled solely for monetary gain, without consideration for workers' health or environmental damage. Although the Chinese government has banned these practices, it has not been able to eradicate them. In 2008, the prices of recyclable waste plummeted before rebounding in 2009. Cardboard averaged about £53/tonne from 2004 to 2008, dropped to £19/tonne, and then went up to £59/tonne in May 2009. PET plastic averaged about £156/tonne, dropped to £75/tonne and then moved up to £195/tonne in May 2009."
